"RGN09CD","Year","Sex","Age_Group","Deprivation_Quintile","Ethnic_Group","population_estimates"
"E12000001",2014,"Males","0-24","2","Mixed",1668.28122533381
"E12000001",2014,"Males","0-24","3","Mixed",969.442943115014
"E12000001",2014,"Males","0-24","4","Mixed",1121.7485971395
"E12000001",2014,"Males","0-24","5","Mixed",1069.36281570688
"E12000001",2014,"Males","0-24","1","Other",1019.89055961511
"E12000001",2014,"Males","0-24","2","Other",677.190147750456
"E12000001",2014,"Males","0-24","3","Other",332.11400723831
"E12000001",2014,"Males","0-24","4","Other",291.218379399332
"E12000001",2014,"Males","0-24","5","Other",263.19555412463
"E12000001",2014,"Males","0-24","1","White",135197.28394736
"E12000001",2014,"Males","0-24","2","White",83198.3213632629
"E12000001",2014,"Males","0-24","3","White",51684.4786493029
"E12000001",2014,"Males","0-24","4","White",50583.6051418623
"E12000001",2014,"Males","0-24","5","White",48927.7597855884
"E12000001",2014,"Males","25-49","1","Asian",8618.18069764859
"E12000001",2014,"Males","25-49","2","Asian",4322.3444738741
"E12000001",2014,"Males","25-49","3","Asian",2104.78482179388
"E12000001",2014,"Males","25-49","4","Asian",1972.75658550691
"E12000001",2014,"Males","25-49","5","Asian",2115.60704634794
"E12000001",2014,"Males","25-49","1","Black",2474.16136247509
"E12000001",2014,"Males","25-49","2","Black",959.448809280839
"E12000001",2014,"Males","25-49","3","Black",372.712073466191
"E12000001",2014,"Males","25-49","4","Black",299.222777519843
"E12000001",2014,"Males","25-49","5","Black",254.505452233311
"E12000001",2014,"Males","25-49","1","Mixed",1508.76813051474
"E12000001",2014,"Males","25-49","2","Mixed",786.290871626258
"E12000001",2014,"Males","25-49","3","Mixed",407.86169654518
"E12000001",2014,"Males","25-49","4","Mixed",489.040006690172
"E12000001",2014,"Males","25-49","5","Mixed",368.718780292439
"E12000001",2014,"Males","25-49","1","Other",1814.04333559446
"E12000001",2014,"Males","25-49","2","Other",936.858958217204
"E12000001",2014,"Males","25-49","3","Other",351.522281879614
"E12000001",2014,"Males","25-49","4","Other",336.434162038416
"E12000001",2014,"Males","25-49","5","Other",325.791813722539
"E12000001",2014,"Males","25-49","1","White",128548.846473772
"E12000001",2014,"Males","25-49","2","White",90461.0568870011
"E12000001",2014,"Males","25-49","3","White",55340.1191263136
"E12000001",2014,"Males","25-49","4","White",52512.5464682431
"E12000001",2014,"Males","25-49","5","White",49047.3769074025
"E12000001",2014,"Males","50-64","1","Asian",1268.55095560361
"E12000001",2014,"Males","50-64","2","Asian",717.481617652939
